path,product,quality,split
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\dataset\Test\rottenapples\rotated_by_60_Screen Shot 2018-06-07 at 3.03.38 PM.png,0,1,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Apple_Good\20190809_165802.jpg,0,0,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Processed Images_Fruits\Good Quality_Fruits\Apple_Good\20190809_120623.jpg,0,0,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Apple__Rotten\rotated_by_75_Screen Shot 2018-06-07 at 2.44.51 PM.png,0,1,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\dataset\Train\rottenapples\a_r420.png,0,1,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\dataset\Train\rottenapples\rotated_by_75_Screen Shot 2018-06-07 at 2.44.51 PM.png,0,1,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\dataset\Test\rottenapples\a_r268.png,0,1,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Apple__Healthy\vertical_flip_Screen Shot 2018-06-08 at 5.23.31 PM.png,0,0,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\dataset\Train\freshapples\a_f705.png,0,0,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\dataset\Train\freshapples\vertical_flip_Screen Shot 2018-06-08 at 5.23.31 PM.png,0,0,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Apple__Rotten\rottenApple (480).jpg,0,1,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Apple__Rotten\rottenApple (500).jpg,0,1,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Apple__Healthy\translation_Screen Shot 2018-06-08 at 5.07.26 PM.png,0,0,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\dataset\Train\freshapples\a_f573.png,0,0,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\dataset\Train\freshapples\translation_Screen Shot 2018-06-08 at 5.07.26 PM.png,0,0,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Apple__Rotten\saltandpepper_Screen Shot 2018-06-07 at 2.43.13 PM.png,0,1,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\Fruit And Vegetable Diseases Dataset\Apple__Rotten\Screen Shot 2018-06-07 at 2.43.13 PM.png,0,1,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\dataset\Train\rottenapples\a_r623.png,0,1,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\dataset\Train\rottenapples\saltandpepper_Screen Shot 2018-06-07 at 2.43.13 PM.png,0,1,val
C:\Users\aashrith sai\OneDrive - mlrinstitutions.ac.in\Documents\safe folder fr projdect\organiclink\backend\cv\data\dataset\Train\rottenapples\Screen Shot 2018-06-07 at 2.43.13 PM.png,0,1,val
